symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
False,256,16,16,16.0,2,2,17.06338,39.264187,53.421853637695285,2.7595603,2.3879821
True,256,16,16,16.0,2,3,20.643229,63.40266,56.982996940612686,3.136388,2.5069427
False,256,16,16,16.0,2,3,13.060668,20.426458,54.53641986846912,2.6320155,1.717142
True,256,16,16,16.0,2,4,14.408456,24.06573,67.94320449829097,2.6934297,1.9118712
False,256,16,16,16.0,2,4,14.580371,38.512947,44.19812927246093,2.563144,2.12612
True,256,16,16,16.0,2,5,13.241101,22.343718,56.988252830505246,2.5922425,1.860269
False,256,16,16,16.0,2,5,17.431522,42.27318,54.31080951690669,2.7722437,2.3840575
True,256,16,16,16.0,2,6,14.2547,37.254555,44.04593124389643,2.5508156,2.1396995
False,256,16,16,16.0,2,6,15.594138,32.603996,67.31116065978996,2.707637,2.1802213
True,256,16,16,16.0,2,7,14.65596,31.782736,39.117259979248026,2.6389344,2.0857294
False,256,16,16,16.0,2,7,16.71988,46.744087,50.26564941406241,2.702228,2.3527467
True,256,16,16,16.0,2,8,14.901948,35.959133,38.601553344726504,2.7020607,2.0292315
False,256,16,16,16.0,2,8,18.299938,36.345695,72.26302261352532,2.90683,2.39703
True,256,16,16,16.0,2,9,11.934451,26.908611,31.83689270019529,2.467374,1.770216
False,256,16,16,16.0,2,9,15.295621,27.821596,56.43419532775871,2.699067,2.064086
True,256,8,32,32.0,2,0,16.62394,31.996284,40.67819099426269,3.0154746,1.926124
False,256,8,32,32.0,2,0,24.994434,63.682526,68.69567699432366,3.4222674,2.7589645
True,256,8,32,32.0,2,1,11.537953,15.063845,38.92174663543697,2.4955692,1.4765592
False,256,8,32,32.0,2,1,13.829171,21.833506,36.24655084609977,2.750894,1.6623309
True,256,8,32,32.0,2,2,17.557064,40.2876,51.557043457031234,2.9005218,2.2556849
False,256,8,32,32.0,2,2,21.975737,42.990936,84.10265312194804,3.2973776,2.4507895
True,256,8,32,32.0,2,3,11.9658575,19.511818,36.674946784973095,2.560015,1.600525
False,256,8,32,32.0,2,3,18.804539,41.551586,57.33579883575428,2.9602265,2.3531568
True,256,8,32,32.0,2,4,14.379349,25.291998,48.65942993164062,2.7223678,1.8642125
False,256,8,32,32.0,2,4,21.92676,62.89279,56.89331607818598,3.0895476,2.7078192
True,256,8,32,32.0,2,5,12.235674,20.905962,43.97423744201646,2.4980276,1.6712645
False,256,8,32,32.0,2,5,15.13423,23.289192,51.80245513916014,2.8111703,1.8827423
True,256,8,32,32.0,2,6,15.312027,20.180357,51.69622097015373,2.9123595,1.7739681
False,256,8,32,32.0,2,6,20.07138,45.864124,61.769950485229444,3.0416002,2.473489
True,256,8,32,32.0,2,7,17.450872,55.97233,48.29323463439934,2.8187423,2.344795
False,256,8,32,32.0,2,7,26.977861,69.62155,74.71996135711652,3.6070538,2.7970288
True,256,8,32,32.0,2,8,15.938537,19.440607,41.85248680114744,2.9924672,1.7457099
False,256,8,32,32.0,2,8,14.490735,30.878685,53.03932361602762,2.6941967,1.9213146
True,256,8,32,32.0,2,9,14.7093,22.785025,56.13976993560787,2.752328,1.885898
False,256,8,32,32.0,2,9,16.106495,38.930233,46.70233650207514,2.7044528,2.2033267
True,512,256,2,2.0,2,0,47.60082,43.1419,153.345458984375,5.3213553,2.6321495
False,512,256,2,2.0,2,0,23.090326,21.906416,72.51170349121094,3.623975,1.835564
True,512,256,2,2.0,2,1,45.246246,137.83736,82.3687973022461,4.227614,3.774511
False,512,256,2,2.0,2,1,45.74486,75.824875,214.86719512939453,4.796576,3.5605073
True,512,256,2,2.0,2,2,96.84008,233.07614,257.39093017578125,6.342869,5.851759
False,512,256,2,2.0,2,2,20.621847,19.62002,64.03540802001953,3.4826283,1.7938491
True,512,256,2,2.0,2,3,46.67381,67.177795,141.88438034057617,5.021231,3.12581
False,512,256,2,2.0,2,3,36.893253,85.20088,168.7671661376953,3.8613877,3.6823533
True,512,256,2,2.0,2,4,31.60914,33.988277,87.61423110961914,4.305826,2.192754
False,512,256,2,2.0,2,4,21.963516,26.983982,73.57281112670898,3.457285,2.0961678
True,512,256,2,2.0,2,5,119.02252,118.921974,323.3642120361328,8.48048,4.2568054
False,512,256,2,2.0,2,5,174.62892,208.02899,550.4633483886719,10.135267,5.351574
True,512,256,2,2.0,2,6,33.586933,44.920906,96.52091979980469,4.3526683,2.6021495
False,512,256,2,2.0,2,6,59.72712,95.48816,139.86144256591797,5.7729793,3.6111047
