symmetric,encoder_macs,decoder_macs,encoder_params,decoder_params,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,6,1.5039212,3.6100106,4.614436721801756,0.8376689,0.6224613
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,6,1.9569577,18.934624,2.802463221549987,0.69686747,0.9366867
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,7,1.4618908,3.4514225,4.384397888183588,0.82397884,0.6140641
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,7,1.7049828,11.362241,3.6444514274597117,0.75780207,0.810976
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,8,1.9338285,8.733452,4.855780744552611,0.91307575,0.76063603
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,8,2.28527,21.855316,3.308023047447199,0.7396673,1.0507404
True,16717,16717,16952,17027,100,25,3.5714285714285716,4,9,1.7038771,5.108967,5.614378118515013,0.870365,0.7047765
False,6250,13275,6325,13531,100,25,3.5714285714285716,4,9,2.0632403,11.663141,4.3461755275726315,0.88139695,0.83886516
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,0,1.8410767,2.9775863,6.276653575897209,0.96528345,0.6529395
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,0,1.9342341,15.198387,3.820499062538145,0.73383564,0.9198527
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,1,2.0688775,7.2191367,6.6485978603362925,0.95687693,0.7742444
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,1,2.139092,20.083939,3.0252544641494725,0.7394155,1.0150045
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,2,1.628917,4.7241254,5.117025327682487,0.84931517,0.67794234
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,2,1.4950086,7.6553273,3.5975665330886804,0.77602226,0.68701017
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,3,2.482342,5.1851554,9.285837173461898,1.0707994,0.8565914
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,3,2.1554415,14.291943,4.596679115295405,0.83050466,0.9179003
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,4,2.376871,5.089035,7.853545284271226,1.0881538,0.80229473
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,4,1.9514234,11.667851,4.370152997970578,0.8262268,0.8475722
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,5,2.3226035,7.611414,6.625965738296507,1.0138392,0.8114688
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,5,1.9714228,13.766881,3.9332086563110344,0.78274363,0.9056941
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,6,1.7950609,3.4118583,6.011250448226915,0.92963785,0.6468426
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,6,1.5904543,10.086048,3.6946004152297935,0.7336256,0.7749599
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,7,2.2858553,8.419955,6.487635803222652,1.0038373,0.8261864
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,7,1.6294706,9.333914,4.029850316047662,0.75303054,0.7745139
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,8,2.366851,5.4189897,7.178929233551023,1.0605006,0.7888182
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,8,1.6773497,10.024111,3.619377756118774,0.78702587,0.778003
True,20042,20042,20330,20405,100,25,3.5714285714285716,5,9,1.8270572,5.7194767,5.487958574295037,0.9110916,0.69151634
False,9820,13275,9948,13531,100,25,3.5714285714285716,5,9,1.7623757,9.522642,4.066037607192992,0.77462226,0.81463337
