symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,512,8,46.54545454545455,2,7,61.22287,91.44544,244.69638061523438,5.6514,4.0413094
False,512,8,46.54545454545455,2,7,79.584724,332.4623,115.49674987792969,5.160498,5.891039
True,512,8,46.54545454545455,2,8,51.63628,108.72955,133.41460418701172,4.895256,3.789674
False,512,8,46.54545454545455,2,8,66.24729,153.48396,167.0791473388672,5.466983,4.600014
True,512,8,46.54545454545455,2,9,92.53438,194.11559,248.5568618774414,6.636985,5.128159
False,512,8,46.54545454545455,2,9,65.031906,217.32198,155.37589263916016,5.0736427,4.970882
True,512,16,26.94736842105263,2,0,42.22312,44.96508,122.97266006469727,4.879572,2.8202238
False,512,16,26.94736842105263,2,0,109.598625,561.8037,101.03014755249023,5.129444,7.6949296
True,512,16,26.94736842105263,2,1,28.229475,41.593506,78.33222389221191,3.977045,2.2751431
False,512,16,26.94736842105263,2,1,138.3653,432.972,286.42394256591797,7.6031914,6.972169
True,512,16,26.94736842105263,2,2,44.12265,91.65008,81.42594528198242,4.6314025,3.5232933
False,512,16,26.94736842105263,2,2,124.52654,393.89352,259.7803421020508,7.2846,6.497432
True,512,16,26.94736842105263,2,3,45.984257,140.12083,85.9084587097168,4.3290105,3.9812849
False,512,16,26.94736842105263,2,3,38.00052,67.48636,107.27680206298828,4.5298643,2.8904953
True,512,16,26.94736842105263,2,4,26.398354,33.989044,83.90053939819336,3.80112,2.3046525
False,512,16,26.94736842105263,2,4,97.70688,349.52292,205.6742172241211,5.9002523,6.4487
True,512,16,26.94736842105263,2,5,56.945763,166.8214,129.26589965820312,4.761331,4.526247
False,512,16,26.94736842105263,2,5,45.777176,106.9005,134.68262481689453,4.5635324,3.7467816
True,512,16,26.94736842105263,2,6,37.061573,72.4942,106.40270233154297,4.3237333,3.0950146
False,512,16,26.94736842105263,2,6,58.607475,209.33214,116.09872436523438,4.6119246,4.926091
True,512,16,26.94736842105263,2,7,37.641994,51.503902,142.60879516601562,4.4430323,2.8467019
False,512,16,26.94736842105263,2,7,54.578255,142.95242,151.29950714111328,4.9998913,4.1862445
True,512,16,26.94736842105263,2,8,77.583206,135.07433,235.56194305419922,6.3266015,4.4621773
False,512,16,26.94736842105263,2,8,72.208435,197.47725,167.0559844970703,5.662053,4.94726
